FieldID,CodingName,FigureName,Type,Label,Include
31,sex,sex,Demographic,Sex,1
48,waist_circ,waist_circ,Demographic,Waist circumference,1
53,date_recr,date_recr,Cohort,Date recruitment,1
93,bp_sys,bp_sys,Biological,Systolic BP,0
94,bp_dias,bp_dias,Biological,Diastolic BP,0
189,townsend_ind,townsend_ind,Demographic,Townsend index,0
670,accom,accom,Demographic,Accommodation,0
680,home_status,home_status,Demographic,Home ownership,0
709,household_people,household_people,Demographic,Household people,0
738,household_income,household_income,Demographic,Household income,1
6138,education_status,education_status,Demographic,Education status,1
6142,employment_status,employment_status,Demographic,Employment status,1
20116,smoking_status,smoking_status,Lifestyle,Smoking status,1
20117,alcohol_status,alcohol_status,Lifestyle,Alcohol status,1
21000,ethnicity,ethnicity,Demographic,Ethnicity,1
21001,bmi,bmi,Biological,BMI,1
21002,weight,weight,Biological,Weight,0
21022,age,age,Demographic,Age,1
23400,total_cholesterol,total_cholesterol,Metabolic,Total cholesterol,0
23401,total_cholesterol_minus_hdl-c,total_cholesterol_minus_hdlc,Metabolic,Total cholesterol minus HDL C,0
23402,"remnant_cholesterol_(non-hdl,_non-ldl_-cholesterol)",remnant_cholesterol_nonhdl_nonldl_cholesterol,Metabolic,non HDL non LDL -cholesterol,0
23403,vldl_cholesterol,vldl_cholesterol,Metabolic,VLDL cholesterol,0
23404,clinical_ldl_cholesterol,clinical_ldl_cholesterol,Metabolic,Clinical LDL cholesterol,0
23405,ldl_cholesterol,ldl_cholesterol,Metabolic,LDL cholesterol,0
23406,hdl_cholesterol_metab,hdl_cholesterol_metab,Metabolic,HDL cholesterol (metab),0
23407,total_triglycerides,total_triglycerides,Metabolic,Total triglycerides,0
23408,triglycerides_in_vldl,triglycerides_in_vldl,Metabolic,Triglycerides in VLDL,0
23409,triglycerides_in_ldl,triglycerides_in_ldl,Metabolic,Triglycerides in LDL,0
23410,triglycerides_in_hdl,triglycerides_in_hdl,Metabolic,Triglycerides in HDL,0
23411,total_phospholipids_in_lipoprotein_particles,total_phospholipids_in_lipoprotein_particles,Metabolic,Total phospholipids in lipoprotein particles,0
23412,phospholipids_in_vldl,phospholipids_in_vldl,Metabolic,Phospholipids in VLDL,0
23413,phospholipids_in_ldl,phospholipids_in_ldl,Metabolic,Phospholipids in IDL,0
23414,phospholipids_in_hdl,phospholipids_in_hdl,Metabolic,Phospholipids in HDL,0
