"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"100" "Africa" "100" "Africa"
"101" "Algeria" "101" "Algeria"
"102" "Angola" "102" "Angola"
"103" "Benin" "103" "Benin"
"104" "Botswana" "104" "Botswana"
"105" "Burkina" "105" "Burkina"
"106" "Burundi" "106" "Burundi"
"107" "Cameroon" "107" "Cameroon"
"108" "Cape Verde" "108" "Cape Verde"
"109" "Caribbean" "109" "Caribbean"
"110" "Central African Republic" "110" "Central African Republic"
"111" "Comoros" "111" "Comoros"
"112" "Congo" "112" "Congo"
"113" "Djibouti" "113" "Djibouti"
"114" "East Africa" "114" "East Africa"
"115" "Egypt" "115" "Egypt"
"116" "Equatorial Guinea" "116" "Equatorial Guinea"
"117" "Eritrea" "117" "Eritrea"
"118" "Ethiopia" "118" "Ethiopia"
"119" "Gambia" "119" "Gambia"
"120" "Ghana" "120" "Ghana"
"121" "Guinea" "121" "Guinea"
"122" "Guinea-Bissau" "122" "Guinea-Bissau"
"123" "Ivory Coast" "123" "Ivory Coast"
"124" "Kenya" "124" "Kenya"
"125" "Lesotho" "125" "Lesotho"
"126" "Liberia" "126" "Liberia"
"127" "Libya" "127" "Libya"
"128" "Madagascar" "128" "Madagascar"
"129" "Malawi" "129" "Malawi"
"130" "Mauritania" "130" "Mauritania"
"131" "Mauritius" "131" "Mauritius"
"132" "Morocco" "132" "Morocco"
"133" "Mozambique" "133" "Mozambique"
"134" "Namibia" "134" "Namibia"
"135" "Niger" "135" "Niger"
"136" "Nigeria" "136" "Nigeria"
"137" "Rwanda" "137" "Rwanda"
"138" "Sao Tome and Principe" "138" "Sao Tome and Principe"
"139" "Senegal" "139" "Senegal"
"140" "Seychelles" "140" "Seychelles"
"141" "Sierra Leone" "141" "Sierra Leone"
"142" "Somalia" "142" "Somalia"
"143" "South Africa" "143" "South Africa"
"144" "Sudan" "144" "Sudan"
"145" "Swaziland" "145" "Swaziland"
"146" "Tanzania" "146" "Tanzania"
"147" "Togo" "147" "Togo"
"148" "Tunisia" "148" "Tunisia"
"149" "Uganda" "149" "Uganda"
"150" "West Africa" "150" "West Africa"
"151" "Zambia" "151" "Zambia"
"152" "Zimbabwe" "152" "Zimbabwe"
"200" "Asia" "200" "Asia"
"201" "Afghanistan" "201" "Afghanistan"
"202" "Bahrain" "202" "Bahrain"
"203" "Bangladesh" "203" "Bangladesh"
"204" "Borneo" "204" "Borneo"
"205" "British Indian Ocean Territory" "205" "British Indian Ocean Territory"
"206" "Brunei" "206" "Brunei"
"207" "Myanmar (Burma)" "207" "Myanmar (Burma)"
"208" "Cambodia" "208" "Cambodia"
"209" "China" "209" "China"
"210" "Emirates" "210" "Emirates"
"211" "Hong Kong" "211" "Hong Kong"
"212" "India" "212" "India"
"213" "Indonesia" "213" "Indonesia"
"214" "Iran" "214" "Iran"
"215" "Iraq" "215" "Iraq"
"216" "Israel" "216" "Israel"
"217" "Japan" "217" "Japan"
"218" "Jordan" "218" "Jordan"
"219" "Kashmir" "219" "Kashmir"
"220" "Kurdistan" "220" "Kurdistan"
"221" "Kuwait" "221" "Kuwait"
"222" "Kyrgyzstan" "222" "Kyrgyzstan"
"223" "Laos" "223" "Laos"
"224" "Lebanon" "224" "Lebanon"
"225" "Macau (Macao)" "225" "Macau (Macao)"
"226" "Malaysia" "226" "Malaysia"
"227" "Maldives" "227" "Maldives"
"228" "Mongolia" "228" "Mongolia"
"229" "Nepal" "229" "Nepal"
"230" "North Korea" "230" "North Korea"
"231" "Oman" "231" "Oman"
"232" "Pakistan" "232" "Pakistan"
"233" "Palestine" "233" "Palestine"
"234" "Pattaya" "234" "Pattaya"
"235" "Philippines" "235" "Philippines"
"236" "Qatar" "236" "Qatar"
"237" "Saint Helena" "237" "Saint Helena"
"238" "Saudi Arabia" "238" "Saudi Arabia"
"239" "Singapore" "239" "Singapore"
"240" "South Korea" "240" "South Korea"
"241" "Sri Lanka" "241" "Sri Lanka"
"242" "Syria" "242" "Syria"
"243" "Taiwan" "243" "Taiwan"
"244" "Tajikistan" "244" "Tajikistan"
"245" "Thailand" "245" "Thailand"
"246" "Tibet" "246" "Tibet"
"247" "Turkmenistan" "247" "Turkmenistan"
"248" "Uzbekistan" "248" "Uzbekistan"
"249" "Vietnam" "249" "Vietnam"
"250" "West Indies" "250" "West Indies"
"251" "Yemen" "251" "Yemen"
